codigo;descricao;valor;via_acesso;notas
31206115;HIPOSPADIA DISTAL - TRATAMENTO EM 1 TEMPO; 2.548,23 ;;
31206123;HIPOSPADIA PROXIMAL - TRATAMENTO EM 1 TEMPO; 3.266,43 ;;
31003397;ÍLEO MECONIAL - TRATAMENTO CIRÚRGICO; 2.009,52 ;;
30913101;IMPLANTE CIRÚRGICO DE CATETER DE LONGA PERMANÊNCIA PARA NPP, QT, ETC.; 589,00 ;;
30913012;IMPLANTE DE CATETER VENOSO CENTRAL POR PUNÇÃO PARA INFUSÃO DE SORO/DROGAS; 589,00 ;;
30101620;INCISÃO E DRENAGEM DE ABSCESSO, HEMATOMA OU PANARÍCIO; 152,80 ;;
31003427;INVAGINAÇÃO INTESTINAL - TRATAMENTO CIRÚRGICO COM RESSECÇÃO; 1.377,88 ;;
31003435;INVAGINAÇÃO INTESTINAL - TRATAMENTO CIRÚRGICO SEM RESSECÇÃO; 1.314,22 ;;
31009174;LAPAROTOMIA EXPLORADORA CONVENCINAL - BIÓPSIA, DRENAGEM DE ABSCESSO, LISE DE BRIDAS; 929,64 ;;
31009352;LAPAROTOMIA EXPLORADORA VIDEOLAPAROSCÓPICA - BIÓPSIA, DRENAGEM DE ABSCESSO, LISE DE BRIDAS; 1.377,88 ;;
30101468;LESÃO/TUMOR DE PELE E MUCOSAS - EXÉRESE; 361,66 ;;
31003451;MÁ ROTAÇÃO INTESTINAL - TRATAMENTO CIRÚRGICO; 2.009,52 ;;
30803071;MALFORMAÇÃO PULMONAR - LOBECTOMIA; 2.804,16 ;;
31104142;MEATOTOMIA URETRAL; 315,74 ;;
31003460;MEGACÓLON CONGÊNITO - TRATAMENTO CIRÚRGICO; 2.417,02 ;;
31003478;MEMBRANA DUODENAL - TRATAMENTO CIRÚRGICO; 2.557,12 ;;
31101151;NEFRECTOMIA PARCIAL COM URETERECTOMIA; 2.557,12 ;;
31101160;NEFRECTOMIA PARCIAL UNILATERAL; 2.557,12 ;;
31101194;NEFRECTOMIA TOTAL UNILATERAL; 2.177,62 ;;
31101585;NEFRECTOMIA TOTAL UNILATERAL POR VIDEOLAPAROSCOPIA; 3.188,74 ;;
31101313;NEFROSTOMIA PERCUTÂNEA UNILATERAL; 1.377,88 ;;
31307116;OMENTECTOMIA - CONVENCIONAL; 1.871,96 ;;
31307248;OMENTECTOMIA - VIDEOLAPAROSCÓPICA; 1.217,40 ;;
31009220;ONFALOCELE/GASTROSQUISE - EM 1 TEMPO OU PRIMEIRO TEMPO OU PRÓTESE; 4.199,86 ;;
3100923 9;ONFALOCELE/GASTROSQUISE - SEGUNDO TEMPO; 2.009,52 ;;
31305016;OOFORECTOMIA/OOFOROPLASTIA CONVENCIONAL UNI OU BILATERAL; 1.217,40 ;;
31305032;OOFORECTOMIA/OOFOROPLASTIA LAPAROSCÓPICA UNI OU BILATERAL; 1.553,64 ;;
31203060;ORQUIDOPEXIA UNILATERAL - CONVENCIONAL; 1.314,22 ;;
31203132;ORQUIDOPEXIA UNILATERAL - VIDEOLAPAROSCÓPICA; 2.009,52 ;;
31203078;ORQUIECTOMIA UNILATERAL - CONVENCIONAL; 715,68 ;;
31203078;ORQUIECTOMIA UNILATERAL - VIDEOLAPAROSCÓPICA; 1.394,46 ;;
31003486;PÂNCREAS ANULAR - TRATAMENTO CIRÚRGICO; 2.557,12 ;;
31006060;PANCREATECTOMIA PARCIAL OU SEQUESTRECTOMIA; 2.177,62 ;;
31206174;PARAFIMOSE - REDUÇÃO MANUAL OU CIRÚRGICA; 315,74 ;;
31206182;PÊNIS CURVO CONGÊNITO; 1.698,82 ;;
30101492;PEQUENAS LESÕES - EXÉRESE E SUTURA SIMPLES; 315,74 ;;
31101364;PIELOPLASTIA; 1.871,96 ;;
31003508;PILOROMIOTOMIA - CONVENCIONAL; 1.217,40 ;;
31002196;PILOROPLASTIA - CONVENCIONAL; 1.217,40 ;;
31002374;PILOROPLASTIA - VIDEOLAPAROSCÓPICA; 1.698,82 ;;
31206212;PLÁSTICA DO FREIO BÁLANO PREPUCIAL; 315,74 ;;
31004091;PLICOMA – EXCISÃO CIRÚRGICA; 152,80 ;;
30722586;POLIDACTILIA NÃO ARTICULADA – TRATAMENTO CIRÚRGICO; 360,65 ;;
31004245;PÓLIPO RETAL - RESSECÇÃO ENDOANAL; 361,66 ;;
31206220;POSTECTOMIA; 665,40 ;;
31004261;PROLAPSO RETAL - TRATAMENTO CIRÚRGICO; 929,64 ;;
31006116;PSEUDOCISTO PÂNCREAS - DRENAGEM INTERNA (QUALQUER TÉCNICA); 1.553,64 ;;
30804086;PUNÇÃO PLEURAL; 315,74 ;;
31102182;REIMPLANTE URETERAL POR VIA EXTRA OU INTRAVESICAL UNILATERAL; 1.871,96 ;;
